MinifigNumber,MinifigName,MinifigCategory,OwnedInSets,OwnedLoose
"col291","Hot Dog Man - Minifig only Entry","Collectible Minifigures / Series 17 Minifigures",1,0,
"sw258","Hoth Officer","Star Wars / Star Wars Episode 4/5/6",1,0,
"sw259","Hoth Rebel Trooper","Star Wars / Star Wars Episode 4/5/6",2,0,
"sh037","Hulk","Super Heroes / Avengers",0,1,
"sh173","Hulk - Giant, Dark Purple Pants with Dark Red Pattern","Super Heroes / Avengers Age of Ultron",1,0,
"col180","Hun Warrior - Minifig only Entry","Collectible Minifigures / Series 12 Minifigures",1,0,
"lor101","Hunter Orc (79016)","The Hobbit and the Lord of the Rings / The Hobbit / The Battle of the Five Armies",1,0,
"lor102","Hunter Orc with Quiver (79016)","The Hobbit and the Lord of the Rings / The Hobbit / The Battle of the Five Armies",1,0,
"tlm032","Ice Cream Jo","The Lego Movie / General",1,0,
"tlm031","Ice Cream Mike","The Lego Movie / General",1,0,
"sp017","Ice Planet Babe","Space / Ice Planet 2002",0,1,
"sp018","Ice Planet Blonde Guy","Space / Ice Planet 2002",0,1,
"sp019","Ice Planet Chief","Space / Ice Planet 2002",0,1,
"col244","Ice Queen - Minifig only Entry","Collectible Minifigures / Series 16 Minifigures",1,0,
"col247","Imp - Minifig only Entry","Collectible Minifigures / Series 16 Minifigures",1,0,
"sw401","Imperial AT-ST Driver (9679)","Star Wars / Star Wars Episode 4/5/6",1,0,
"sw529","Imperial Gunner (Closed mouth)","Star Wars / Star Wars Episode 4/5/6",1,0,
"sw520","Imperial Gunner (Open mouth)","Star Wars / Star Wars Episode 4/5/6",1,0,
"sw376","Imperial Officer - Black Belt","Star Wars / Star Wars Episode 4/5/6",1,0,
"sw623","Imperial Officer - Dark Tan outfit","Star Wars / Star Wars Rebels",1,0,
"sw304","Imperial V-wing Pilot (7915)","Star Wars / Star Wars Episode 3",1,0,
"sh065","Iron Man Mark 42 Armor","Super Heroes / Iron Man 3",1,0,
"sh072a","Iron Man Mark 42 Armor (Plain White Head)","Super Heroes / Iron Man 3",1,0,
"sh167","Iron Man MK43","Super Heroes / Avengers Age of Ultron",1,0,
"sh036","Iron Man with Circle on Chest (6869)","Super Heroes / Avengers",1,0,
"sh073","Iron Man with Heart Breaker Armor","Super Heroes / Iron Man 3",1,0,
"sh015","Iron Man with Triangle on Chest","Super Heroes / Avengers",1,0,
"sh084","Iron Patriot","Super Heroes / Iron Man 3",0,1,
"col167","Island Warrior - Minifig only Entry","Collectible Minifigures / Series 11 Minifigures",1,0,
"sim019","Itchy - Minifig only Entry","Collectible Minifigures / The Simpsons",1,0,
"sh054","J. Jonah Jameson","Super Heroes / Ultimate Spider-Man",1,0,
"gs011","Jack Fireblade","Space / Galaxy Squad",3,0,
"sw468","Jango Fett (75015)","Star Wars / Star Wars Episode 2",1,0,
"col236","Janitor - Minifig only Entry","Collectible Minifigures / Series 15 Minifigures",1,0,
"njo089","Jay - Rebooted","Ninjago / General",1,0,
"njo248","Jay - Skybound, Dual Sided Head (70594)","Ninjago / General",1,0,
"sh044","Jean Grey in Phoenix Costume (Comic-Con 2012 Exclusive)","Super Heroes / X-Men",0,1,
"col187","Jester - Minifig only Entry","Collectible Minifigures / Series 12 Minifigures",1,0,
"col242","Jewel Thief - Minifig only Entry","Collectible Minifigures / Series 15 Minifigures",1,0,
"elf004","Johnny Baker","Elves / General",1,0,
"sh082","Jor-El","Super Heroes / Man of Steel",1,0,
"col138","Judge - Minifig only Entry","Collectible Minifigures / Series  9 Minifigures",1,0,
"col106","Jungle Boy - Minifig only Entry","Collectible Minifigures / Series  7 Minifigures",1,0,
"njo071","Kai - Kimono","Ninjago / General",2,0,
"njo117","Kai - Sleeveless","Ninjago / General",1,0,
"sw577","Kanan Jarrus (Black Hair and Eyebrows)","Star Wars / Star Wars Rebels",1,0,
"col239","Kendo Fighter - Minifig only Entry","Collectible Minifigures / Series 15 Minifigures",1,0,
"col251","Kickboxer Girl - Minifig only Entry","Collectible Minifigures / Series 16 Minifigures",1,0,
"nex014","King Halbert","Nexo Knights / General",1,0,
"coltlbm19","King Tut - Minifig Only Entry","Collectible Minifigures / The LEGO Batman Movie",1,0,
"nex015","King's Bot","Nexo Knights / General",1,0,
"nex075","King's Guard (5004390)","Nexo Knights / General",1,0,
"cas474","Kingdoms - Lion Knight Quarters, Helmet with Broad Brim, Quiver, Open Grin","Castle / Kingdoms",1,0,
"sw755","Kordi (75147)","Star Wars / Star Wars The Freemaker Adventures",1,0,
"njo247","Krazi - Red Loincloth, Jester's Cap (70592)","Ninjago / General",1,0,
"sim014","Krusty the Clown - Minifig only Entry","Collectible Minifigures / The Simpsons",1,0,
"col209","Lady Cyclops - Minifig only Entry","Collectible Minifigures / Series 13 Minifigures",1,0,
"twn222","Lady in Red (10246)","Town / General",1,0,
"col178","Lady Robot - Minifig only Entry","Collectible Minifigures / Series 11 Minifigures",1,0,
"nex001","Lance (70312 / 70316)","Nexo Knights / General",1,0,
"nex002","Lance Bot (Lancebot) (70312)","Nexo Knights / General",1,0,
"tlm010","Larry the Barista - Minifig only Entry","Collectible Minifigures / The Lego Movie",1,0,
"col238","Laser Mech - Minifig only Entry","Collectible Minifigures / Series 15 Minifigures",1,0,
"tls086","Lego Brand Store Employee, Male","Lego Brand Store / General",2,0,
"loc017","Leonidas","Legends of Chima / General",1,0,
"sh012","Lex Luthor","Super Heroes / Superman",1,0,
"col145","Librarian - Minifig only Entry","Collectible Minifigures / Series 10 Minifigures",1,0,
"col185","Lifeguard - Minifig only Entry","Collectible Minifigures / Series 12 Minifigures",1,0,
"trn235","Light Orange Safety Vest, Dark Bluish Gray Legs, Red Construction Helmet, Brown Beard","Train / General",1,0,
"trn236","Light Orange Safety Vest, Light Bluish Gray Legs, Red Cap with Hole, Headphones, Peach Lips","Train / General",1,0,
"sim030","Lisa Simpson with Bright Pink Dress - Minifig only Entry","Collectible Minifigures / The Simpsons Series 2",1,0,
"sim010","Lisa Simpson with Wide Open Eyes - Minifig only Entry","Collectible Minifigures / The Simpsons",1,0,
"njo073","Lloyd - Golden Ninja Kimono","Ninjago / General",2,0,
"njo312","Lloyd - The LEGO Ninjago Movie (70618)","Ninjago / The LEGO Ninjago Movie",1,0,
"sw400","Lobot (9678)","Star Wars / Star Wars Episode 4/5/6",1,0,
"coltlbm01","Lobster Lovin’ Batman - Minifig Only Entry","Collectible Minifigures / The LEGO Batman Movie",1,0,
"sh033","Loki - Traditional Starched Fabric Cape","Super Heroes / Avengers",2,0,
"lom006","LoM Martian - Canopus","Space / Life On Mars",1,0,
"lom010","LoM Martian - Pollux","Space / Life On Mars",1,0,
"lom012","LoM Martian - Vega","Space / Life On Mars",1,0,
"loc027","Longtooth","Legends of Chima / General",1,0,
"njo078","Lord Garmadon - 4 Arms, Helmet with Visor and Horns","Ninjago / General",1,0,
"njo309","Lord Garmadon - Armor and Robe, The LEGO Ninjago Movie (70612)","Ninjago / The LEGO Ninjago Movie",1,0,
"sw569","Luke Skywalker (Pilot, Printed Legs, Cheek Lines) (75049)","Star Wars / Star Wars Episode 4/5/6",1,0,
"loc081","Lundor - Fire Chi and Heavy Armor","Legends of Chima / General",1,0,
"sp033","M:Tron with Airtanks","Space / M:Tron",0,1,
"sim005","Maggie Simpson","The Simpsons / General",1,0,
"sim011","Maggie Simpson with Worried Look - Minifig only Entry","Collectible Minifigures / The Simpsons",1,0,
"sh031","Magneto - Red Outfit","Super Heroes / X-Men",1,0,
"dis006","Maleficent - Minifig only Entry","Collectible Minifigures / Disney",1,0,
"sh086","Man-Bat","Super Heroes / Batman II",1,0,
"sw296","Mandalorian","Star Wars / Star Wars Clone Wars",12,0,
"gs014","Mantizoid","Space / Galaxy Squad",1,0,
"coltlbm17","March Harriet - Minifig Only Entry","Collectible Minifigures / The LEGO Batman Movie",1,0,
"sim009","Marge Simpson - Minifig only Entry","Collectible Minifigures / The Simpsons",1,0,
"sim029","Marge Simpson with Orange Dress - Minifig only Entry","Collectible Minifigures / The Simpsons Series 2",1,0,
"mm008","Mars Mission Astronaut with Helmet and Red-Brown Hair over Eye and Stubble","Space / Mars Mission",0,1,
"tlm016","Marsha Queen of the Mermaids - Minifig only Entry","Collectible Minifigures / The Lego Movie",1,0,
"sh114","Martian Manhunter","Super Heroes / Justice League",1,0,
"sim034","Martin Prince - Minifig only Entry","Collectible Minifigures / The Simpsons Series 2",1,0,
"idea001","Marty McFly","LEGO Ideas / General",1,0,
"gs015","Max Solarflare","Space / Galaxy Squad",1,0,
"sh350","Mayor McCaskill","Super Heroes / The LEGO Batman Movie",1,0,
"mba001","MBA Level One Minifigure","Master Builder Academy / General",1,0,
"hol055","Medium Blue Female Shirt with Two Buttons and Shell Pendant, Dark Blue Legs, Reddish Brown Ponytail and Swept Sideways Fringe","Holiday / Easter",1,0,
"cty472","Medium Blue Female Shirt with Two Buttons and Shell Pendant, Light Bluish Gray Legs, Black Bob Cut Hair","Town / City",1,0,
"twn189","Medium Blue Female Shirt with Two Buttons and Shell Pendant, Tan Legs, Dark Orange Hair Ponytail Long with Side Bangs","Town / General",1,0,
"hol066","Medium Blue Jacket with Light Purple Scarf, Medium Lavender Short Legs, Bright Light Yellow Ponytail and Swept Sideways Fringe (10249)","Holiday / Christmas",1,0,
"col146","Medusa - Minifig only Entry","Collectible Minifigures / Series 10 Minifigures",1,0,
"col140","Mermaid - Minifig only Entry","Collectible Minifigures / Series  9 Minifigures",1,0,
"tnt012","Michelangelo (79100)","Teenage Mutant Ninja Turtles / General",1,0,
"dis012","Mickey Mouse - Minifig only Entry","Collectible Minifigures / Disney",1,0,
"sim032","Milhouse as Fallout Boy - Minifig only Entry","Collectible Minifigures / The Simpsons Series 2",1,0,
"sim015","Milhouse Van Houten - Minifig only Entry","Collectible Minifigures / The Simpsons",1,0,
"coltlbm20","Mime - Minifig Only Entry","Collectible Minifigures / The LEGO Batman Movie",1,0,
"dis011","Minnie Mouse - Minifig only Entry","Collectible Minifigures / Disney",1,0,
"lor080","Mirkwood Elf - Dark Green Outfit (79012)","The Hobbit and the Lord of the Rings / The Hobbit",2,0,
"lor078","Mirkwood Elf Archer - Dark Green Outfit, Dual Sided Head","The Hobbit and the Lord of the Rings / The Hobbit",4,0,
"twn249","Mom, Bright Pink Top with Butterflies and Flowers, Lime Legs (10251)","Town / General",1,0,
"col222","Monster Rocker - Minifig only Entry","Collectible Minifigures / Series 14 Minifigures",1,0,
"col213","Monster Scientist - Minifig only Entry","Collectible Minifigures / Series 14 Minifigures",1,0,
"rac048","Motor Mike","Racers / General",1,0,
"col160","Motorcycle Mechanic - Minifig only Entry","Collectible Minifigures / Series 10 Minifigures",1,0,
"col171","Mountain Climber - Minifig only Entry","Collectible Minifigures / Series 11 Minifigures",1,0,
"sim022","Mr. Burns - Minifig only Entry","Collectible Minifigures / The Simpsons",1,0,
"sh049","Mr. Freeze","Super Heroes / Batman II",1,0,
"col142","Mr. Good and Evil - Minifig only Entry","Collectible Minifigures / Series  9 Minifigures",1,0,
"dis013","Mr. Incredible - Minifig only Entry","Collectible Minifigures / Disney",1,0,
"hol048","Mrs. Claus (10245)","Holiday / Christmas",1,0,
"tlm006","Mrs. Scratchen-Post - Minifig only Entry","Collectible Minifigures / The Lego Movie",1,0,
"coltlnm20","N-POP Girl - Minifig Only Entry, no stand, no accessories","Collectible Minifigures / The LEGO Ninjago Movie",1,0,
"sw340","Naboo Fighter Pilot - Red Jumpsuit","Star Wars / Star Wars Episode 1",1,0,
"njo195","Nadakhan (70605)","Ninjago / General",1,0,
"elf002a","Naida Riverheart, Bright Pink Flower","Elves / General",1,0,
"nba021","NBA Jalen Rose, Chicago Bulls #5","Sports / Basketball",1,0,
"nba019","NBA Kevin Garnett, Minnesota Timberwolves #21 (White Uniform)","Sports / Basketball",1,0,
"nba020","NBA Predrag Stojakovic, Sacramento Kings #16","Sports / Basketball",1,0,
"sim013","Ned Flanders - Minifig only Entry","Collectible Minifigures / The Simpsons",1,0,
"sim018","Nelson Muntz - Minifig only Entry","Collectible Minifigures / The Simpsons",1,0,
"sh056","Nick Fury","Super Heroes / Ultimate Spider-Man",1,0,
"sh085","Nightwing - Red Eye Holes and Chest Symbol","Super Heroes / Batman II",1,0,
"njo083","Nindroid Warrior","Ninjago / General",1,0,
"rac050","Nitro Nick","Racers / General",1,0,
"lor046","Nori the Dwarf","The Hobbit and the Lord of the Rings / The Hobbit",1,0,
"sh051","Nova","Super Heroes / Ultimate Spider-Man",1,0,
"njo003","Nuckal - Vertical Hand Clips","Ninjago / General",1,0,
"coltlbm13","Nurse Harley Quinn - Minifig Only Entry","Collectible Minifigures / The LEGO Batman Movie",1,0,
"njo200","Nya - Skybound (70604)","Ninjago / General",1,0,
"njo245","Nya - Skybound, Hair (70592)","Ninjago / General",1,0,
"col101","Ocean King - Minifig only Entry","Collectible Minifigures / Series  7 Minifigures",1,0,
"hol070b","Octan - Jacket with Red and Green Stripe, Green Short Legs, Red Bandana, Helmet Sports with Vent Holes, Black Eye Corner Crinkles (10249)","Holiday / Christmas",1,0,
"twn276","Orange Halter Top with Medium Blue Trim and Flowers Pattern, Medium Blue Legs, Reddish Brown Hair Short Wavy","Town / General",1,0,
"hol015","Orange Halter Top with Medium Blue Trim and Flowers Pattern, Orange Legs, Dark Brown Hair Ponytail Long with Side Bangs","Holiday / General",1,0,
"cty473","Orange Jacket with Hood over Light Blue Sweater, Blue Legs, Dark Orange Short Tousled Hair, Crooked Smile","Town / City",1,0,
"gs010","Orange Robot Sidekick","Space / Galaxy Squad",2,0,
"coltlbm14","Orca - Minifig Only Entry","Collectible Minifigures / The LEGO Batman Movie",1,0,
"lor045","Ori the Dwarf","The Hobbit and the Lord of the Rings / The Hobbit",1,0,
"cty268","Overalls Blue over V-Neck Shirt, Blue Legs, Blue Short Bill Cap, Beard and Glasses","Town / City",2,0,
"cty269","Overalls Blue over V-Neck Shirt, Blue Legs, Blue Short Bill Cap, Eyelashes and Smile","Town / City",2,0,
"cty521","Overalls Farmer Green, Dark Brown Short Tousled Hair, Standard Grin","Town / City",1,0,
"hol067","Overalls Farmer Green, Dark Tan Hair and Beard (10249)","Holiday / Christmas",1,0,
"cty499","Overalls Farmer Green, Green Cap with Hole, Brown Moustache and Goatee","Town / City / Train",1,0,
"cty365","Overalls with Safety Stripe Orange, Orange Legs, Black Short Bill Cap, Brown Eyebrows and Open Smile","Town / City",2,0,
"col153","Paintball Player - Minifig only Entry","Collectible Minifigures / Series 10 Minifigures",1,0,
"col200","Paleontologist - Minifig only Entry","Collectible Minifigures / Series 13 Minifigures",1,0,
"tlm015","Panda Guy - Minifig only Entry","Collectible Minifigures / The Lego Movie",1,0,
"sim038","Patty - Minifig only Entry","Collectible Minifigures / The Simpsons Series 2",1,0,
"col253","Penguin Suit Guy - Minifig only Entry","Collectible Minifigures / Series 16 Minifigures",1,0,
"sh068","Pepper Potts","Super Heroes / Iron Man 3",1,0,
"idea007","Pete","LEGO Ideas / General",2,0,
"dis015","Peter Pan - Minifig only Entry","Collectible Minifigures / Disney",1,0,
"col192","Piggy Guy - Minifig only Entry","Collectible Minifigures / Series 12 Minifigures",3,0,
"coltlbm10","Pink Power Batgirl - Minifig Only Entry","Collectible Minifigures / The LEGO Batman Movie",1,0,
"pi178","Pirate Medium Blue and White Stripes, Black Legs","Pirates / Pirates III",1,0,
"col189","Pizza Delivery Guy - Minifig only Entry","Collectible Minifigures / Series 12 Minifigures",1,0,
"dis002","Pizza Planet Alien - Minifig only Entry","Collectible Minifigures / Disney",1,0,
"cty466","Plaid Button Shirt, Sand Blue Legs, Red Cap with Hole, Headphones","Town / City",1,0,
"pln173","Plain Blue Torso with Blue Arms, Short Light Bluish Gray Legs, Red Cap {31010}","Town / General",1,0,
"pln175","Plain Red Torso with Red Arms, Dark Blue Legs, Sports Helmet and Brown Beard","Town / General",1,0,
"col215","Plant Monster - Minifig only Entry","Collectible Minifigures / Series 14 Minifigures",1,0,
"col144","Plumber - Minifig only Entry","Collectible Minifigures / Series  9 Minifigures",1,0,
"twn220","Police -  Female Officer, Dark Brown Hair with Bun (10246)","Town / Police",1,0,
"cty451","Police - City Bandit Female","Town / City / Police",1,0,
"cty452","Police - City Bandit Male with Black Stubble and Backpack","Town / City / Police",1,0,
"cty027a","Police - City Leather Jacket with Gold Badge and 'POLICE' on Back, White Helmet, Trans-Black Visor, Silver Sunglasses","Town / City / Police",1,0,
"cty450","Police - City Officer, Gold Badge, Police Hat, Sunglasses","Town / City / Police",1,0,
"cty005","Police - City Suit with Blue Tie and Badge, Black Legs, White Hat, Brown Eyebrows, Thin Grin","Town / City / Police",1,0,
"cty199","Police - City Suit with Blue Tie and Badge, Black Legs, White Short Bill Cap, Crooked Smile","Town / City / Police",1,0,
"cty200","Police - Jail Prisoner 50380 Prison Stripes, Dark Bluish Gray Legs, Black Knit Cap, Smirk and Stubble Beard","Town / City / Police",1,0,
"cty203","Police - Jail Prisoner 50380 Prison Stripes, Dark Bluish Gray Legs, Dark Bluish Gray Knit Cap, Gold Tooth, Backpack","Town / City / Police",1,0,
"cty201","Police - Jail Prisoner Jacket over Prison Stripes, Dark Bluish Gray Legs, Dark Bluish Gray Knit Cap, Gold Tooth, Backpack","Town / City / Police",1,0,
"col134","Policeman - Minifig only Entry","Collectible Minifigures / Series  9 Minifigures",1,0,
"twn219","Pool Player (10246)","Town / General",1,0,
"tlm002","President Business - Minifig only Entry","Collectible Minifigures / The Lego Movie",1,0,
"tlm095","President Business - Smiling, Raised Eyebrows","The Lego Movie / General",1,0,
"col165","Pretzel Girl - Minifig only Entry","Collectible Minifigures / Series 11 Minifigures",1,0,
"col286","Professional Surfer - Minifig only Entry","Collectible Minifigures / Series 17 Minifigures",1,0,
"sim035","Professor Frink - Minifig only Entry","Collectible Minifigures / The Simpsons Series 2",1,0,
"col186","Prospector - Minifig only Entry","Collectible Minifigures / Series 12 Minifigures",1,0,
"uagt008","Psyclone with Parachute Backpack and Attachments","Ultra Agents / General",1,0,
"col243","Queen - Minifig only Entry","Collectible Minifigures / Series 15 Minifigures",1,0,
"sw217","R2-D2 (Light Bluish Gray Head)","Star Wars / Star Wars Episode 4/5/6",1,0,
"sw303","R2-Q2","Star Wars / Star Wars Episode 3",1,0,
"sw393","R3-D5","Star Wars / Star Wars Clone Wars",1,0,
"sw456","R4-P17 (75006)","Star Wars / Star Wars Episode 2",1,0,
"sw375","R5-J2 (9492)","Star Wars / Star Wars Episode 4/5/6",1,0,
"tlm058","Radio DJ Robot","The Lego Movie / General",3,0,
"sim016","Ralph Wiggum - Minifig only Entry","Collectible Minifigures / The Simpsons",1,0,
"loc002","Razcal","Legends of Chima / General",1,0,
"sw437","Rebel Pilot A-wing (75003)","Star Wars / Star Wars Episode 4/5/6",1,0,
"sw399","Rebel Pilot X-wing (9677)","Star Wars / Star Wars Episode 4/5/6",1,0,
"coltlbm11","Red Hood - Minifig Only Entry","Collectible Minifigures / The LEGO Batman Movie",1,0,
"cty196","Red Shirt with 3 Silver Logos, Dark Blue Arms, Blue Legs, Blue Helmet, Orange Sunglasses","Town / City",1,0,
"twn214","Red Shirt with 3 Silver Logos, Dark Blue Arms, Dark Blue Short Legs, Dark Orange Hair","Town / General",1,0,
"cty312","Red Shirt with 3 Silver Logos, Dark Blue Arms, Light Bluish-Gray Legs, Dark Orange Hair (7346)","Town / City",1,0,
"sw440","Republic Trooper 1 (75001)","Star Wars / Star Wars Old Republic",1,0,
"sw444","Republic Trooper 2 (75001)","Star Wars / Star Wars Old Republic",1,0,
"col296","Retro Spaceman - Minifig only Entry","Collectible Minifigures / Series 17 Minifigures",1,0,
"col156","Revolutionary Soldier - Minifig only Entry","Collectible Minifigures / Series 10 Minifigures",1,0,
"sw677","Rey","Star Wars / Star Wars Episode 7",1,0,
"loc007","Rizzo","Legends of Chima / General",1,0,
"sw756","RO-GR (Roger)","Star Wars / Star Wars The Freemaker Adventures",1,0,
"tlm063","Robo Emmet","The Lego Movie / General",1,0,
"tlm065","Robo Pilot","The Lego Movie / General",1,0,
"tlm048","Robo Skeleton","The Lego Movie / General",1,0,
"tlm025","Robo SWAT","The Lego Movie / General",1,0,
"tlm046","Robo SWAT with Helmet","The Lego Movie / General",1,0,
"col190","Rock Star - Minifig only Entry","Collectible Minifigures / Series 12 Minifigures",1,0,
"col298","Rocket Boy - Minifig only Entry","Collectible Minifigures / Series 17 Minifigures",1,0,
"sh090","Rocket Raccoon - Dark Red Outfit","Super Heroes / Guardians of the Galaxy",2,0,
"col254","Rogue - Minifig only Entry","Collectible Minifigures / Series 16 Minifigures",1,0,
"col136","Roller Derby Girl - Minifig only Entry","Collectible Minifigures / Series  9 Minifigures",1,0,
"col147","Roman Commander - Minifig only Entry","Collectible Minifigures / Series 10 Minifigures",1,0,
"col133","Roman Emperor - Minifig only Entry","Collectible Minifigures / Series  9 Minifigures",1,0,
"col293","Roman Gladiator - Minifig only Entry","Collectible Minifigures / Series 17 Minifigures",1,0,
"njo246","Ronin (70592)","Ninjago / General",1,0,
"sw753","Rowan - Helmet and Goggles (75147)","Star Wars / Star Wars The Freemaker Adventures",1,0,
"sw521","Royal Guard with Dark Red Arms and Hands","Star Wars / Star Wars Episode 4/5/6",2,0,
"col155","Sad Clown - Minifig only Entry","Collectible Minifigures / Series 10 Minifigures",1,0,
"sw308","Saesee Tiin","Star Wars / Star Wars Clone Wars",1,0,
"col206","Samurai - Minifig only Entry","Collectible Minifigures / Series 13 Minifigures",1,0,
"col122","Santa - Minifig only Entry","Collectible Minifigures / Series  8 Minifigures",1,0,
"col174","Saxophone Player - Minifig only Entry","Collectible Minifigures / Series 11 Minifigures",1,0,
"col252","Scallywag Pirate - Minifig only Entry","Collectible Minifigures / Series 16 Minifigures",1,0,
"col164","Scarecrow - Minifig only Entry","Collectible Minifigures / Series 11 Minifigures",1,0,
"sh174","Scarlet Witch","Super Heroes / Avengers Age of Ultron",1,0,
"col173","Scientist - Minifig only Entry","Collectible Minifigures / Series 11 Minifigures",1,0,
"njo072","Scout - Yellow Face Markings","Ninjago / General",4,0,
"sim020","Scratchy - Minifig only Entry","Collectible Minifigures / The Simpsons",1,0,
"tlm007","Scribble-Face Bad Cop - Minifig only Entry","Collectible Minifigures / The Lego Movie",1,0,
"col154","Sea Captain - Minifig only Entry","Collectible Minifigures / Series 10 Minifigures",1,0,
"col301","Secret Character (Highwayman) - Minifig only Entry","Collectible Minifigures / Series 17 Minifigures",1,0,
"sim037","Selma - Minifig only Entry","Collectible Minifigures / The Simpsons Series 2",1,0,
"njo002","Sensei Wu","Ninjago / General",1,0,
"njo064","Sensei Wu - Pearl Gold Hat","Ninjago / General",1,0,
"col256","Serenader - Minifig only Entry","Collectible Minifigures / Series 16 Minifigures",1,0,
"sw604","Shadow Guard","Star Wars / Star Wars Expanded Universe",2,0,
"sw603","Shadow Stormtrooper","Star Wars / Star Wars Expanded Universe",2,0,
"coltlnm13","Shark Army Angler - Minifig Only Entry, no stand, no accessories","Collectible Minifigures / The LEGO Ninjago Movie",1,0,
"coltlnm11","Shark Army General #1 - Minifig Only Entry, no stand, no accessories","Collectible Minifigures / The LEGO Ninjago Movie",1,0,
"coltlnm14","Shark Army Great White - Minifig Only Entry, no stand, no accessories","Collectible Minifigures / The LEGO Ninjago Movie",1,0,
"coltlnm12","Shark Army Octopus - Minifig Only Entry, no stand, no accessories","Collectible Minifigures / The LEGO Ninjago Movie",1,0,
"col240","Shark Suit Guy - Minifig only Entry","Collectible Minifigures / Series 15 Minifigures",1,0,
"col196","Sheriff - Minifig only Entry","Collectible Minifigures / Series 13 Minifigures",1,0,
"elf017","Sira Copperbranch Sky Captain","Elves / General",1,0,
"sw443","Sith Trooper Black","Star Wars / Star Wars Old Republic",1,0,
"sw436","Sith Trooper Red (75001)","Star Wars / Star Wars Old Republic",1,0,
"col221","Skeleton Guy - Minifig only Entry","Collectible Minifigures / Series 14 Minifigures",1,0,
"min011","Skeleton with Cube Skull","Minecraft / General",1,0,
"gen038","Skeleton, Fantasy Era Torso with Standard Skull, Mechanical Arms Bent","Other / General",0,50,
"col150","Skydiver - Minifig only Entry","Collectible Minifigures / Series 10 Minifigures",2,0,
"col198","Snake Charmer - Minifig only Entry","Collectible Minifigures / Series 13 Minifigures",1,0,
"cty520","Snowplow Driver (60083)","Town / City",1,0,
"sw607","Snowspeeder Pilot (75074)","Star Wars / Star Wars Episode 4/5/6",1,0,
"sw568","Snowtrooper, Light Bluish Gray Hips, Light Bluish Gray Hands, White Kama","Star Wars / Star Wars Episode 4/5/6",1,0,
"gs004","Solomon Blaze","Space / Galaxy Squad",3,0,
"col184","Space Miner - Minifig only Entry","Collectible Minifigures / Series 12 Minifigures",1,0,
"sp036","Space Police 1","Space / Space Police I",0,1,
"tlm064","Space Wyldstyle","The Lego Movie / General",1,0,
"cty384","Spacesuit, White Legs, Underwater Helmet, Visor","Town / City",0,1,
"col217","Specter - Minifig only Entry","Collectible Minifigures / Series 14 Minifigures",1,0,
"col226","Spider Lady - Minifig only Entry","Collectible Minifigures / Series 14 Minifigures",1,0,
"sh038","Spider-Man - Black Web Pattern","Super Heroes / Ultimate Spider-Man",3,0,
"col248","Spooky Boy - Minifig only Entry","Collectible Minifigures / Series 16 Minifigures",1,0,
"col194","Spooky Girl - Minifig only Entry","Collectible Minifigures / Series 12 Minifigures",1,0,
"col257","Spy - Minifig only Entry","Collectible Minifigures / Series 16 Minifigures",1,0,
"njo203","Sqiffy","Ninjago / General",1,0,
"col225","Square Foot - Minifig only Entry","Collectible Minifigures / Series 14 Minifigures",2,0,
"sw469","Stass Allie (75016)","Star Wars / Star Wars Episode 2",1,0,
"min009","Steve","Minecraft / General",2,0,
"dis001","Stitch - Minifig only Entry","Collectible Minifigures / Disney",1,0,
"sw578","Stormtrooper (Printed Legs, Dark Azure Helmet Vents)","Star Wars / Star Wars Rebels",1,0,
"sw364","Stormtrooper (Tatooine) with Orange Pauldron, Re-Breather on Back, Dirt Stains, Patterned Head (Sandtrooper Squad Leader) (9490)","Star Wars / Star Wars Episode 4/5/6",1,0,
"sw383","Stormtrooper (Tatooine) with White Pauldron, Re-Breather on Back, Dirt Stains , Patterned Head (Sandtrooper Sergeant) (9490)","Star Wars / Star Wars Episode 4/5/6",1,0,
"sw092","Super Battle Droid - Pearl Dark Gray","Star Wars / General",3,0,
"sh003","Superman","Super Heroes / Superman",1,0,
"sh077","Superman - Dark Blue Suit","Super Heroes / Man of Steel",1,0,
"coltlnm19","Sushi Chef - Minifig Only Entry, no stand, no accessories","Collectible Minifigures / The LEGO Ninjago Movie",1,0,
"mof014","Swamp Creature","Monster Fighters / General",1,0,
"cty513","Swamp Police - Crook Male with Black Knit Cap and Dark Orange Beard","Town / City / Police",1,0,
"cty522","Swamp Police - Crook Male with Dark Bluish Gray Knit Cap and Backpack","Town / City / Police",1,0,
"cty548","Swamp Police - Officer Female, Vest","Town / City / Police",1,0,
"cty517","Swamp Police - Officer, Shirt, Dark Tan Hat, Black Beard","Town / City / Police",1,0,
"col191","Swashbuckler - Minifig only Entry","Collectible Minifigures / Series 12 Minifigures",1,0,
"cty504","Sweater Cropped with Bow, Heart Necklace, White Legs, Dark Brown Hair Ponytail Long with Side Bangs","Town / City",1,0,
"njo077","Swordsman - Blue Face Markings","Ninjago / General",2,0,
"dis014","Syndrome - Minifig only Entry","Collectible Minifigures / Disney",1,0,
"tlm012","Taco Tuesday Guy - Minifig only Entry","Collectible Minifigures / The Lego Movie",1,0,
"njo240","Tai-D","Ninjago / General",1,0,
"lor098","Tauriel (79016)","The Hobbit and the Lord of the Rings / The Hobbit / The Battle of the Five Armies",1,0,
"sw556","Ten Numb (75050)","Star Wars / Star Wars Episode 4/5/6",1,0,
